source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
78764378,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_78764378/,2480.0,2DK,44.73,1985,5.0,7.0,東京都葛飾区東堀切３-20-7 [ ■ 周辺環境 ],お花茶屋駅,12.0,24
78913409,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_78913409/,2399.0,1LDK,44.55,1974,4.0,6.0,東京都葛飾区金町１ [ ■ 周辺環境 ],京成金町駅,9.0,26
78293956,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_78293956/,2580.0,1DK,27.44,1977,5.0,7.0,東京都港区芝浦４ [ ■ 周辺環境 ],田町駅,9.0,22
20108833,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20108833/,2390.0,1LDK,31.08,1986,3.0,4.0,東京都練馬区北町５-12-23 [ ■ 周辺環境 ],東武練馬駅,11.0,31
77967150,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_77967150/,2450.0,1LDK,46.6,1974,3.0,7.0,東京都練馬区豊玉北３-15-3 [ ■ 周辺環境 ],桜台駅,11.0,23
78325461,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78325461/,2580.0,1LDK,39.92,1975,2.0,14.0,東京都練馬区練馬３-1-8 [ ■ 周辺環境 ],練馬駅,4.0,25
20054735,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20054735/,2580.0,1K,35.03,1971,5.0,1.0,東京都大田区北千束３-16-19 [ ■ 周辺環境 ],大岡山駅,3.0,21
20233419,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20233419/,2499.0,1LDK,33.44,1984,1.0,5.0,東京都世田谷区鎌田３ [ ■ 周辺環境 ],二子玉川駅,13.0,23
20293411,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20293411/,2499.0,1LDK,33.44,1984,1.0,5.0,東京都世田谷区鎌田３ [ ■ 周辺環境 ],二子玉川駅,13.0,27
78649899,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_78649899/,2480.0,1LDK,42.53,1973,3.0,4.0,東京都世田谷区桜丘４ [ ■ 周辺環境 ],千歳船橋駅,15.0,29
20355018,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_20355018/,2500.0,1DK,31.9,1977,7.0,8.0,東京都渋谷区幡ヶ谷２ [ ■ 周辺環境 ],幡ヶ谷駅,5.0,21
78309826,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_78309826/,2680.0,1DK,26.35,1979,3.0,10.0,東京都品川区西五反田２-15-2 [ ■ 周辺環境 ],五反田駅,4.0,34
20060728,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20060728/,2480.0,1LDK,36.54,1969,3.0,7.0,東京都杉並区西荻北４ [ ■ 周辺環境 ],西荻窪駅,6.0,32
20040373,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20040373/,2790.0,1LDK,37.72,2019,2.0,9.0,東京都足立区入谷２ [ ■ 周辺環境 ],舎人駅,12.0,27
20112549,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20112549/,2698.0,2LDK,60.75,1985,1.0,5.0,東京都足立区栗原４ [ ■ 周辺環境 ],西新井駅,14.0,28
20209274,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20209274/,2890.0,3LDK,60.18,1988,4.0,11.0,東京都足立区一ツ家２ [ ■ 周辺環境 ],六町駅,15.0,33
20223754,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20223754/,2780.0,2LDK,60.48,1983,9.0,11.0,東京都足立区小台１ [ ■ 周辺環境 ],足立小台駅,4.0,21
78066270,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78066270/,2699.0,2LDK,59.13,1985,4.0,6.0,東京都足立区綾瀬７ [ ■ 周辺環境 ],北綾瀬駅,10.0,24
78385251,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78385251/,2790.0,1LDK,37.72,2019,2.0,9.0,東京都足立区入谷２-23-8 [ ■ 周辺環境 ],舎人駅,12.0,16
20348479,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_20348479/,2888.0,3LDK,83.64,1997,6.0,14.0,東京都荒川区荒川８ [ ■ 周辺環境 ],町屋駅,13.0,32
20138462,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20138462/,2800.0,2LDK,40.5,1980,4.0,10.0,東京都板橋区大山金井町 [ ■ 周辺環境 ],大山駅,8.0,26
20354052,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20354052/,2780.0,2LDK,52.2,1984,1.0,5.0,東京都板橋区相生町7-7 [ ■ 周辺環境 ],志村三丁目駅,7.0,31
