level_0,source_id,url,price_man_yen,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count,rooms_num,base_layout,luxury_bathroom,luxury_bedroom,luxury_kitchen,luxury_living_room,luxury_toilet,brightness_bathroom,brightness_bedroom,brightness_kitchen,brightness_living_room,brightness_toilet,condition_bathroom,condition_bedroom,condition_kitchen,condition_living_room,condition_toilet,latitude,longitude,station_avg_price_man_yen,station_avg_price_per_sqm,station_listing_count,building_period,predicted_price,deal
12,78328315,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_78328315/,1580.0,37.57,1969,4.0,4.0,東京都中野区沼袋３-23-2,沼袋駅,5.0,24,2,DK,0.2,0.3166666666666666,0.25,,,0.6333333333333333,0.75,0.75,,,0.6333333333333333,0.8833333333333333,0.7833333333333333,,,35.71867,139.660233,2730.0,60.48236769771337,2,pre 1981,1580.0,Standard Price
13,20139608,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20139608/,1380.0,29.9,1980,4.0,4.0,東京都練馬区貫井３,富士見台駅,2.0,21,2,K,0.25,0.4599999999999999,0.4,,0.35,0.75,0.782,0.7175,,0.45,0.75,0.8880000000000001,0.8625,,0.85,35.738468,139.628342,5755.111111111111,86.79507087930105,9,pre 1981,1380.0,Standard Price
15,77672802,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_77672802/,1880.0,38.98,1968,1.0,8.0,東京都練馬区貫井３-14-12,富士見台駅,2.0,22,1,LDK,0.6000000000000001,0.5,0.45,,,0.8,0.825,0.75,,,0.95,0.95,0.95,,,35.736996,139.629211,5755.111111111111,86.79507087930105,9,pre 1981,1880.0,Standard Price
16,79073711,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79073711/,1780.0,36.4,1976,3.0,3.0,東京都練馬区谷原５,石神井公園駅,18.0,26,1,LDK,0.3833333333333333,0.45,0.585,0.55,0.65,0.64,0.75,0.7749999999999999,0.85,0.75,0.8733333333333334,0.9,0.925,0.95,0.95,35.752041,139.610626,6441.2307692307695,102.9083034257138,13,pre 1981,1780.0,Standard Price
17,79127288,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79127288/,1780.0,34.02,1970,2.0,7.0,東京都練馬区東大泉１,大泉学園駅,5.0,28,1,LDK,0.4925,0.55,0.4166666666666667,0.65,,0.5549999999999999,0.7600000000000001,0.7666666666666666,0.75,,0.8875,0.94,0.8833333333333333,0.95,,35.74868,139.591888,5003.428571428572,80.0440528883389,14,pre 1981,2616.0,Good Deal
19,20314925,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20314925/,1880.0,32.06,1976,2.0,3.0,東京都大田区仲六郷１,雑色駅,5.0,27,1,DK,0.5,0.3,0.35,,0.55,0.6,0.7,0.73125,,0.65,0.925,0.85,0.84625,,0.85,35.553665,139.715607,5587.375,88.51747191138205,8,pre 1981,3178.0,Good Deal
20,78674406,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_78674406/,2280.0,41.31,1972,1.0,10.0,東京都大田区千鳥１-25-5,千鳥町駅,3.0,10,1,LDK,0.35,0.45,0.45,,,0.7,0.72,0.65,,,0.8,0.85,0.85,,,35.571693,139.694,5924.444444444444,100.29244686007382,9,pre 1981,3782.0,Good Deal
21,20336454,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20336454/,2180.0,37.68,1966,4.0,4.0,東京都世田谷区若林５,若林駅,5.0,30,2,DK,0.35,0.5,0.6166666666666667,,0.65,0.6000000000000001,0.85,0.75,,0.45,0.85,0.8999999999999999,0.9166666666666666,,0.95,35.64901,139.657318,8280.0,124.40355827743213,6,pre 1981,2180.0,Standard Price
23,20031008,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20031008/,2400.0,68.04,1977,12.0,14.0,東京都足立区大谷田２,北綾瀬駅,22.0,28,3,LDK,0.6000000000000001,0.53,0.585,,0.45,0.75,0.796,0.79,,0.72,0.92,0.924,0.925,,0.92,35.782467,139.845016,3534.230769230769,58.6523266911045,13,pre 1981,2400.0,Standard Price
24,20115854,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20115854/,2590.0,56.61,1976,3.0,11.0,東京都足立区中央本町３,五反野駅,11.0,25,1,LDK,0.45,0.65,0.635,,0.25,0.75,0.85,0.8,,0.55,0.95,0.95,0.95,,0.85,35.77227,139.80806,4712.25,65.0568856784814,4,pre 1981,2590.0,Standard Price
25,20321207,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20321207/,2399.0,40.03,1990,2.0,5.0,東京都足立区西綾瀬１,小菅駅,5.0,26,1,LDK,0.6000000000000001,0.55,0.65,,0.55,0.825,0.75,0.75,,0.75,0.95,0.95,0.95,,0.92,35.760609,139.815186,2844.5,56.84411119764752,2,1981 to 2000,2399.0,Standard Price
26,20331076,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20331076/,2398.0,61.6,1983,4.0,8.0,東京都足立区保木間１,竹ノ塚駅,20.0,29,2,LDK,0.65,,0.72,,0.35,0.8,,0.865,,0.55,0.95,,0.95,,0.75,35.790539,139.806488,3328.6666666666665,46.85845710685653,9,1981 to 2000,3061.0,Good Deal
27,20340216,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20340216/,2400.0,61.56,1991,7.0,10.0,東京都足立区小台１,足立小台駅,8.0,28,3,LDK,,0.65,0.35,,,,0.835,0.7,,,,0.95,0.85,,,35.755444,139.771561,2593.333333333333,44.02634168346369,3,1981 to 2000,2400.0,Standard Price
28,20344541,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20344541/,2680.0,37.27,1989,2.0,3.0,東京都足立区綾瀬６,綾瀬駅,14.0,27,1,DK,0.35,0.5499999999999999,0.6733333333333333,0.72,,0.725,0.5166666666666667,0.68,0.75,,0.8,0.7999999999999999,0.8766666666666666,0.95,,35.770931,139.826065,4433.666666666667,73.88614154565363,15,1981 to 2000,2680.0,Standard Price
29,78562693,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78562693/,2580.0,59.53,1989,4.0,4.0,東京都足立区六月１-36-20,竹ノ塚駅,14.0,19,1,LDK,0.35,0.425,0.3,0.35,,0.7,0.73,0.575,0.7,,0.85,0.8125,0.675,0.85,,35.787941,139.798798,3328.6666666666665,46.85845710685653,9,1981 to 2000,2924.0,Good Deal
30,78773318,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_78773318/,2480.0,61.82,1977,7.0,8.0,東京都足立区中川４,亀有駅,14.0,23,3,LDK,0.25,,0.55,0.55,,0.6000000000000001,,0.7,0.7,,0.85,,0.9,0.85,,35.771442,139.84668,4680.0,70.97393131577682,8,pre 1981,2480.0,Standard Price
31,79044265,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_79044265/,2600.0,55.17,1983,10.0,11.0,東京都足立区小台１,足立小台駅,4.0,30,2,DK,0.2833333333333333,0.45,0.3166666666666666,,,0.6833333333333332,0.7833333333333333,0.65,,,0.8833333333333333,0.9066666666666666,0.85,,,35.755444,139.771561,2593.333333333333,44.02634168346369,3,1981 to 2000,2601.0,Good Deal
